Rank,SJR,Title,H index,Publisher,Areas,Categories
201,1.545,Electronic Markets,49,Springer Verlag,"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance",Business and International Management (Q1); Computer Science Applications (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)
344,1.12,International Journal of Logistics Research and Applications,53,Taylor and Francis Ltd.,"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering",Business and International Management (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)
375,1.059,International Transactions in Operational Research,61,Blackwell Publishing,"Business, Management and Accounting; Computer Science; Decision Sciences",Business and International Management (Q1); Computer Science Applications (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)
650,0.681,Journal of Financial Data Science,10,With intelligence,"Business, Management and Accounting; Computer Science; Decision Sciences; Economics, Econometrics and Finance","Artificial Intelligence (Q2); Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computational Theory and Mathematics (Q2); Finance (Q2); Information Systems (Q2); Information Systems and Management (Q2); Strategy and Management (Q2)"
703,0.626,Publications,21,MDPI AG,"Business, Management and Accounting; Computer Science; Engineering; Social Sciences",Communication (Q1); Library and Information Sciences (Q1); Media Technology (Q1); Business and International Management (Q2); Computer Science Applications (Q2)
761,0.584,Journal of Global Information Management,44,IGI Publishing,"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences",Business and International Management (Q2); Computer Science Applications (Q2); E-learning (Q2); Information Systems and Management (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)
1229,0.302,Publishing Research Quarterly,19,Springer US,"Business, Management and Accounting; Computer Science; Engineering; Social Sciences",Communication (Q2); Media Technology (Q2); Business and International Management (Q3); Computer Science Applications (Q3); Management of Technology and Innovation (Q3); Marketing (Q3)
1351,0.258,International Journal of eBusiness and eGovernment Studies,10,Social Sciences Research Society,"Business, Management and Accounting; Computer Science",Business and International Management (Q3); Computer Science Applications (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)
1472,0.225,Business Informatics,10,"National Research University, Higher School of Econoimics","Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance",Business and International Management (Q3); Economics and Econometrics (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3); Information Systems (Q4)
1483,0.221,International Journal of Asian Business and Information Management,8,IGI Global Publishing,"Business, Management and Accounting; Computer Science; Social Sciences",Cultural Studies (Q2); Business and International Management (Q3); Computer Science Applications (Q4); Management of Technology and Innovation (Q4); Strategy and Management (Q4)
1586,0.191,International Game Theory Review,25,World Scientific Publishing Co. Pte Ltd,"Business, Management and Accounting; Computer Science; Decision Sciences","Business and International Management (Q4); Computer Science (miscellaneous) (Q4); Statistics, Probability and Uncertainty (Q4)"
1593,0.187,International Journal of Customer Relationship Marketing and Management,5,IGI Global Publishing,"Business, Management and Accounting; Computer Science; Decision Sciences",Business and International Management (Q4); Information Systems (Q4); Information Systems and Management (Q4); Management Information Systems (Q4); Marketing (Q4)
1787,0.11,Cutter business technology journal,4,Cutter Consortium,"Business, Management and Accounting; Computer Science",Business and International Management (Q4); Computer Science Applications (Q4); Management of Technology and Innovation (Q4); Software (Q4); Strategy and Management (Q4)
